DateTime,m3ps,m3ps_Linear_fit
2016-03-31,0.11398574960810406,0.2086820206488656
2016-04-30,0.46778487818818143,0.20818428055420335
2016-05-31,0.26381572066777476,0.20766994912305237
2016-06-30,0.005655774588137004,0.20717220902839012
2016-07-31,-0.055263448431980305,0.20665787759723914
2016-08-31,0.03303188630639335,0.2061435461660881
2016-09-30,0.1673657872013098,0.20564580607142585
2016-10-31,0.034352739363651984,0.20513147464027487
2016-11-30,0.10929499116725068,0.20463373454561262
2016-12-31,0.13356327163675888,0.20411940311446164
2017-01-31,0.1578689521165679,0.2036050716833106
2017-02-28,0.3770253590437787,0.20314051426162588
2017-03-31,0.10725472323364055,0.20262618283047484
2017-04-30,0.08826523813794801,0.2021284427358126
2017-05-31,0.3566710733941637,0.20161411130466161
2017-06-30,0.586732031427948,0.20111637120999937
2017-07-31,0.3148567911960935,0.20060203977884838
2017-08-31,0.21198520510546204,0.20008770834769735
2017-09-30,0.17397792112180366,0.1995899682530351
2017-10-31,0.2791600498151266,0.19907563682188412
2017-11-30,0.24437394030622173,0.19857789672722187
2017-12-31,0.2433142823580845,0.1980635652960709
2018-01-31,0.2713198489669206,0.19754923386491985
2018-02-28,0.44323596571514534,0.19708467644323513
2018-03-31,0.1982029319510158,0.1965703450120841
2018-04-30,0.3684927990125614,0.19607260491742184
2018-05-31,0.23499881828929176,0.19555827348627086
2018-06-30,0.056740054498536384,0.19506053339160861
2018-07-31,0.2154319364496536,0.19454620196045763
2018-08-31,0.10135770394879065,0.1940318705293066
2018-09-30,0.20425416635995197,0.19353413043464435
2019-12-31,0.18176648369108822,0.18595188965928938
2020-01-31,0.17797202606718765,0.1854375582281384
2020-02-29,0.40837309812143735,0.1849564094699649
2020-03-31,0.0015869514641959253,0.18444207803881385
2020-04-30,0.06847049394866155,0.1839443379441516
2020-05-31,-0.0048382354032877346,0.18343000651300062
