TIMESTAMP,SlrW_Avg,SlrW_Avg_Linear_fit
2019-06-30,123.78614911811866,143.3130340808782
2019-07-31,114.2669243697479,146.79068417827784
2019-08-31,169.3932244623656,150.26833427567772
2019-09-30,173.99450937499998,153.6338021118711
2019-10-31,180.34733400537633,157.11145220927074
2019-11-30,189.19036909722223,160.4769200454641
2019-12-31,166.09296706989247,163.95457014286376
2020-01-31,148.50450168010752,167.43222024026363
2020-02-29,135.2210639367816,170.6855058152505
2020-03-31,202.8637579831933,174.16315591265038
2020-04-30,162.88195104166667,177.52862374884353
2020-05-31,179.8218244680851,181.0062738462434
