TIMESTAMP,SlrW_Avg,SlrW_Avg_Linear_fit
2017-04-30,158.37624497991968,141.20526710012396
2017-05-31,119.99707599193006,141.72464068792638
2017-06-30,142.24213194444445,142.22726028902545
2017-07-31,151.80926377688172,142.74663387682781
2017-08-31,157.3079301075269,143.26600746463023
2017-09-30,189.6888535230823,143.7686270657293
2017-10-31,173.48075235215055,144.28800065353172
2017-11-30,180.30988645833332,144.7906202546308
2017-12-31,165.61200504032257,145.30999384243322
2018-01-31,173.5908125227521,145.82936743023558
2018-02-28,0.0,146.29847905792806
2018-03-31,0.0,146.81785264573043
2018-04-30,177.034800472255,147.32047224682955
2018-05-31,162.93817204301075,147.83984583463192
2018-06-30,156.74527440083364,148.34246543573104
2018-07-31,145.57666420168067,148.8618390235334
2018-08-31,175.80632392473117,149.38121261133583
2018-09-30,185.47614994793472,149.8838322124349
2018-10-31,165.80378965053762,150.40320580023726
2018-11-30,155.13246824019438,150.9058254013364
2018-12-31,143.22468313172044,151.42519898913875
2019-01-31,164.7854173387097,151.94457257694117
2019-02-28,132.68227837737254,152.41368420463365
2019-03-31,182.23817909946237,152.93305779243602
2019-04-30,158.3182138888889,153.43567739353514
2019-05-31,128.179375,153.9550509813375
2019-06-30,125.2522984038862,154.45767058243658
2019-07-31,114.3890880080618,154.977044170239
2019-08-31,160.02364986559138,155.49641775804136
2019-09-30,161.1364376519625,155.9990373591405
2019-10-31,171.06729344537814,156.51841094694285
2019-11-30,179.084621875,157.02103054804198
2019-12-31,158.6070110849849,157.54040413584434
2020-01-31,144.66975504032257,158.05977772364676
2020-02-29,137.67134949712644,158.54564333804254
2020-03-31,192.02642741935486,159.0650169258449
2020-04-30,167.18429037860366,159.56763652694403
2020-05-31,167.18482191780822,160.0870101147464
