TIMESTAMP,AirTF_Avg,AirTF_Avg_Linear_fit
2019-06-30,79.6613361838589,78.85996875811966
2019-07-31,78.76081317204302,79.03889043033101
2019-08-31,79.30264112903225,79.21781210254233
2019-09-30,79.07202430555556,79.39096210790811
2019-10-31,79.20226142473118,79.56988378011943
2019-11-30,79.29010416666667,79.74303378548524
2019-12-31,80.19323252688172,79.92195545769655
2020-01-31,80.28913642473118,80.10087712990787
2020-02-29,79.51793103448276,80.26825546842815
2020-03-31,80.99332325268817,80.44717714063947
2020-04-30,80.71784027777778,80.62032714600525
2020-05-31,80.97774822695035,80.7992488182166
