TIMESTAMP,SlrW_Avg,SlrW_Avg_Linear_fit
2017-08-31,123.68654114365411,148.8460750937852
2017-09-30,156.4798673611111,148.6478224120036
2017-10-31,143.00513637890495,148.44296130749592
2017-11-30,158.142478125,148.2447086257143
2017-12-31,159.4360873655914,148.03984752120664
2018-01-31,152.88228574063825,147.834986416699
2018-02-28,137.76175455559687,147.64995058036948
2018-03-31,166.87051194080055,147.44508947586183
2018-04-30,141.9891515467501,147.2468367940802
2018-05-31,145.2982943548387,147.04197568957255
2018-06-30,135.20948193189716,146.8437230077909
2018-07-31,114.81767372311828,146.63886190328327
2018-08-31,158.68963373655913,146.4340007987756
2018-09-30,167.97066319444446,146.235748116994
2018-10-31,150.73495361344538,146.03088701248635
2018-11-30,152.62625729166666,145.8326343307047
2018-12-31,140.76039114391145,145.62777322619706
2019-01-31,164.43544858870968,145.4229121216894
2019-02-28,129.00374711788768,145.2378762853599
2019-03-31,170.34515384615383,145.0330151808522
2019-04-30,157.51923368055554,144.83476249907062
2019-05-31,112.81082258064515,144.62990139456295
2019-06-30,132.19842954545456,144.43164871278134
