DateTime,SRD_wpm2,SRD_wpm2_Linear_fit
2017-04-30,158.37624497991968,157.19259613070295
2017-05-31,119.95674084033614,157.25901108355896
2017-06-30,142.24213194444445,157.3232836185809
2017-07-31,151.80926377688172,157.38969857143687
2017-08-31,157.3079301075269,157.45611352429285
2017-09-30,189.6837107638889,157.52038605931477
2017-10-31,173.48075235215055,157.58680101217078
2017-11-30,180.30988645833332,157.6510735471927
2017-12-31,165.61200504032257,157.7174885000487
2018-01-31,173.56732046613257,157.78390345290467
2018-04-30,177.034800472255,157.97457864013637
2018-05-31,162.93817204301075,158.04099359299238
2018-06-30,156.69084895833333,158.1052661280143
2018-07-31,145.52774731182797,158.1716810808703
2018-08-31,175.80632392473117,158.23809603372626
2018-09-30,185.60498888502954,158.3023685687482
2018-10-31,165.80378965053762,158.3687835216042
2018-11-30,155.18633159722222,158.43305605662613
2018-12-31,143.22468313172044,158.4994710094821
2019-01-31,164.7854173387097,158.5658859623381
2019-02-28,132.6329174107143,158.62587366169188
2019-03-31,182.23817909946237,158.6922886145479
2019-04-30,158.3182138888889,158.7565611495698
2019-05-31,128.179375,158.8229761024258
2019-06-30,125.16250833333332,158.88724863744773
2019-07-31,114.4265184811828,158.9536635903037
2019-08-31,160.02364986559138,159.02007854315968
2019-09-30,161.0804875,159.0843510781816
2019-10-31,171.00981115591398,159.15076603103762
2019-11-30,179.084621875,159.21503856605955
2019-12-31,158.66004569892473,159.28145351891553
2020-01-31,144.66975504032257,159.3478684717715
2020-02-29,137.67134949712644,159.40999858895938
2020-03-31,192.02642741935486,159.47641354181536
2020-04-30,167.12624027777778,159.5406860768373
2020-05-31,152.80142002688171,159.6071010296933
2020-06-30,113.09603298611111,159.67137356471522
2020-07-31,131.43178998655912,159.7377885175712
2020-08-31,152.10981048387094,159.80420347042718
2020-09-30,158.09236006944442,159.8684760054491
2020-10-31,145.06927755376344,159.93489095830512
2020-11-30,187.4333371527778,159.99916349332702
2020-12-31,155.2916754032258,160.06557844618303
2021-01-31,179.08769018817205,160.131993399039
2021-02-28,153.49282961309524,160.1919810983928
2021-03-31,177.1130376344086,160.25839605124878
2021-04-30,164.4289170138889,160.3226685862707
2021-05-31,147.86934375,160.38908353912672
2021-06-30,128.65727743055555,160.45335607414864
2021-07-31,138.6157063172043,160.51977102700462
2021-08-31,149.64479596638654,160.5861859798606
2021-09-30,198.60853749999998,160.65045851488253
2021-10-31,185.35009106182798,160.71687346773854
2021-11-30,181.91481215277778,160.78114600276047
2021-12-31,194.42485215053762,160.84756095561644
2022-01-31,179.36041498655914,160.91397590847242
2022-02-28,154.50003236607142,160.97396360782622
2022-03-31,205.37991364247313,161.0403785606822
2022-04-30,177.8869986111111,161.10465109570413
2022-05-31,151.25827620967743,161.17106604856014
2022-06-30,130.12802916666666,161.23533858358206
2022-07-31,134.14674630376345,161.30175353643804
2022-08-31,153.03995196506548,161.36816848929402
