DateTime,WindDir_D1_WVT,WindDir_D1_WVT_Linear_fit
2019-06-30,245.53366541956174,239.2370988625771
2019-07-31,216.2800564516129,230.48484457054838
2019-08-31,222.86066666666667,221.73259027851964
2019-09-30,242.0429628472222,213.26266677010517
2019-10-31,221.9656515456989,204.51041247807643
2019-11-30,186.04311805555557,196.04048896966196
2019-12-31,168.22980141129034,187.28823467763323
2020-01-31,169.916248655914,178.5359803856045
2020-02-29,151.18024102011495,170.3483876608043
2020-03-31,127.64090961021506,161.59613336877555
2020-04-30,178.0129625,153.1262098603611
2020-05-31,170.83071926713947,144.37395556833235
