DateTime,SlrW_Avg,SlrW_Avg_Linear_fit
2019-06-30,142.04956812933025,164.05677684582565
2019-07-31,136.24942204301075,166.5964856288772
2019-08-31,180.00995295698925,169.1361944119285
2019-09-30,190.16744548611112,171.5939771052042
2019-10-31,181.28899025210086,174.1336858882555
2019-11-30,222.46580520833334,176.59146858153122
2019-12-31,196.82048420698928,179.13117736458253
2020-01-31,170.7507993951613,181.67088614763406
2020-02-29,161.9692065373563,184.0467427511337
2020-03-31,192.893529905914,186.58645153418524
2020-04-30,172.87695590277778,189.04423422746072
2020-05-31,186.6298634730539,191.58394301051226
