DateTime,RH,RH_Linear_fit
2019-06-30,87.64793693212187,87.53146501072726
2019-07-31,91.2708938172043,87.92142744744874
2019-08-31,87.35329301075268,88.31138988417018
2019-09-30,85.94261805555556,88.688772887449
2019-10-31,88.29519489247312,89.07873532417045
2019-11-30,87.02161458333333,89.45611832744927
2019-12-31,91.01401881720429,89.84608076417075
2020-01-31,91.75355846774194,90.2360432008922
2020-02-29,92.79598778735632,90.6008467707284
2020-03-31,89.48179099462365,90.99080920744984
2020-04-30,91.79457986111112,91.36819221072867
2020-05-31,91.41654846335696,91.75815464745014
