DateTime,BattV_Avg,BattV_Avg_Linear_fit
2019-06-30,12.740555852485302,12.735379837813076
2019-07-31,12.534677419354837,12.732618966117673
2019-08-31,12.803538306451614,12.729858094422273
2019-09-30,12.844458333333334,12.727186283104144
2019-10-31,12.81951948924731,12.724425411408744
2019-11-30,12.844201388888889,12.721753600090613
2019-12-31,12.77361559139785,12.718992728395213
2020-01-31,12.513323252688172,12.716231856699812
2020-02-29,12.453660201149425,12.713649105758954
2020-03-31,12.808272849462366,12.710888234063553
2020-04-30,12.753218749999998,12.708216422745423
2020-05-31,12.755614657210401,12.705455551050022
