DateTime,PTemp_C_Max,PTemp_C_Max_Linear_fit
2019-06-30,27.127559661277903,26.818937598499303
2019-07-31,26.888000672043013,27.054538772534727
2019-08-31,27.570413306451613,27.29013994657012
2019-09-30,27.310423611111112,27.51814108273345
2019-10-31,27.293706317204304,27.753742256768845
2019-11-30,28.057017361111114,27.981743392932174
2019-12-31,28.640067204301076,28.21734456696757
2020-01-31,28.29918682795699,28.452945741002992
2020-02-29,28.001548132183906,28.673346839294197
2020-03-31,29.30988575268817,28.90894801332962
2020-04-30,29.036854166666668,29.13694914949292
2020-05-31,29.64466467065868,29.372550323528344
