TIMESTAMP,RH,RH_Linear_fit
2017-08-31,84.65941422594143,91.56569984057174
2017-09-30,88.62500347222223,91.30890059841701
2017-10-31,91.08085656701378,91.04354138152382
2017-11-30,92.7712326388889,90.7867421393691
2017-12-31,92.44691532258065,90.52138292247591
2018-01-31,92.73757838436002,90.25602370558269
2018-02-28,91.47331598513011,90.01634441290497
2018-03-31,89.54436155913979,89.75098519601175
2018-04-30,91.7939375,89.49418595385706
2018-05-31,90.93721438172044,89.22882673696384
2018-06-30,89.23412152777777,88.97202749480914
2018-07-31,90.17191532258065,88.70666827791592
2018-08-31,88.53536962365591,88.44130906102274
2018-09-30,88.21046875,88.18450981886801
2018-10-31,89.60249663978496,87.91915060197482
2018-11-30,87.64574305555556,87.6623513598201
2018-12-31,86.81257967125126,87.3969921429269
2019-01-31,86.0150873655914,87.13163292603369
2019-02-28,86.33258460394198,86.89195363335597
2019-03-31,85.57642257306013,86.62659441646275
2019-04-30,86.03116666666666,86.36979517430805
2019-05-31,85.84054099462367,86.10443595741484
2019-06-30,84.14936363636365,85.84763671526014
