TIMESTAMP,BattV_Avg,BattV_Avg_Linear_fit
2019-06-30,12.934503464203232,12.946827338627411
2019-07-31,12.891979166666665,12.935396924439882
2019-08-31,12.976827956989247,12.923966510252352
2019-09-30,12.976756944444444,12.91290481910313
2019-10-31,12.862772177419355,12.9014744049156
2019-11-30,12.898017361111112,12.890412713766377
2019-12-31,12.943098118279572,12.878982299578848
2020-01-31,12.820470430107527,12.867551885391316
2020-02-29,12.774762931034484,12.856858917280402
2020-03-31,12.80189180107527,12.845428503092872
2020-04-30,12.84504513888889,12.83436681194365
2020-05-31,12.890982035928143,12.82293639775612
