DateTime,WND_deg,WND_deg_Linear_fit
2019-06-30,245.53366541956174,240.8194337234154
2019-07-31,216.2800564516129,236.35164644424094
2019-08-31,222.86066666666667,231.88385916506695
2019-09-30,242.0429628472222,227.56019405618827
2019-10-31,221.9656515456989,223.09240677701382
2019-11-30,186.04311805555557,218.7687416681356
2019-12-31,168.22980141129034,214.30095438896115
2020-01-31,169.916248655914,209.8331671097867
2020-02-29,151.18024102011495,205.65362417120468
2020-03-31,127.64090961021506,201.18583689203024
2020-04-30,178.0129625,196.86217178315155
2020-05-31,180.72608904569893,192.39438450397756
2020-06-30,242.5316875,188.07071939509888
2020-07-31,240.70787701612903,183.60293211592443
2020-08-31,240.89397211021506,179.13514483675044
2020-09-30,226.27217604166665,174.81147972787176
2020-10-31,159.01690658602152,170.34369244869777
2020-11-30,85.37567812500001,166.02002733981908
2020-12-31,147.58741969086023,161.55224006064464
2021-01-31,163.95977956989248,157.08445278147065
2021-02-28,134.1548091517857,153.04903201318393
2021-03-31,147.88507157258064,148.5812447340095
2021-04-30,150.48898611111113,144.25757962513126
2021-05-31,171.67940120967742,139.7897923459568
2021-06-30,188.05252291666665,135.46612723707858
2021-07-31,238.6571559139785,130.99833995790414
2021-08-31,191.43278057795698,126.53055267872969
2021-09-30,209.19104270833333,122.20688756985146
2021-10-31,230.58367977150536,117.73910029067702
2021-11-30,170.91098402777777,113.41543518179878
2021-12-31,148.30153864247313,108.94764790262434
2022-01-31,113.42891465053764,104.4798606234499
2022-02-28,129.2780424107143,100.44443985516364
2022-03-31,94.39835215053763,95.97665257598919
2022-04-30,0.0,91.6529874671105
2022-05-31,0.0,87.18520018793652
2022-06-30,0.0,82.86153507905783
2022-07-31,0.0,78.39374779988384
2022-08-31,0.008081350729086723,73.9259605207094
